"Codi_Estacio_ACA","Nom_Estacio_ACA","Nom_Estacio_OMD","Nom_Massa_Aigua","Fondaria_Pou","Longitud","Latitud","Codi_Barri","Barri","Codi_Districte","Districte"
"08019-0179","Piezòmetre - 36 Barcelona-1 (Mou 3)","C. Cristóbal de Moura 1 (Piezòmetre 36 BCN1)","Baix Besòs i Pla de Barcelona",55.5,2.2075819,41.4120394,71,"Provençals del Poblenou",10,"Sant Martí"
"08019-0180","Piezòmetre - 36 Barcelona-2 (Mou 4)","C. Cristóbal de Moura 2 (Piezòmetre 36 BCN2)","Baix Besòs i Pla de Barcelona",23.5,2.2075641,41.4120321,71,"Provençals del Poblenou",10,"Sant Martí"
"08019-1305","Piezòmetre - 36 Barcelona-3","C. Puigcerdà / Cristóbal Moura (Piezòmetre 36 BCN3)","Baix Besòs i Pla de Barcelona",20,2.2105961,41.414291,70,"el Besòs i el Maresme",10,"Sant Martí"
"08019-1157","Piezòmetre - 39 Barcelona-3 (Pz1 Port De Ningbó)","Moll de l’Energia (Piezòmetre 39 BCN3 Pz2)","Vall baixa i Delta del Llobregat",36,2.1604749,41.3308859,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-1158","Piezòmetre - 39 Barcelona-4 (Pz2 Port De Ningbó)","Moll de l’Energia (Piezòmetre 39 BCN4 Pz2)","Vall baixa i Delta del Llobregat",72,2.1613227,41.3327953,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-0146","Piezòmetre - A-10'-A","Moll de l’Energia (Piezòmetre A-10'-A)","Vall baixa i Delta del Llobregat",13,2.14967,41.3286402,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-0147","Piezòmetre - A-10'-B","Moll de l’Energia (Piezòmetre A-10'-B)","Vall baixa i Delta del Llobregat",38,2.1496702,41.3286222,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-0068","Piezòmetre - A-10'-C","Moll de l’Energia (Piezòmetre A-10'-C)","Vall baixa i Delta del Llobregat",63.5,2.1496587,41.3285951,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-0148","Piezòmetre - A-10'-D","Moll de l’Energia (Piezòmetre A-10'-D)","Vall baixa i Delta del Llobregat",120,2.1496699,41.3286492,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-0149","Piezòmetre - A-11'-A","Moll de l’Energia (Piezòmetre A-11'-A)","Vall baixa i Delta del Llobregat",9.5,2.1582042,41.3414757,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-0150","Piezòmetre - A-11'-B","Moll de l’Energia (Piezòmetre A-11'-B)","Vall baixa i Delta del Llobregat",37,2.1582402,41.341467,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-0151","Piezòmetre - A-11'-C","Moll de l’Energia (Piezòmetre A-11'-C)","Vall baixa i Delta del Llobregat",47.5,2.1582761,41.3414582,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-0067","Piezòmetre - A-11'-D","Moll de l’Energia (Piezòmetre A-11'-D)","Vall baixa i Delta del Llobregat",109.5,2.1583121,41.3414495,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-0154","Piezòmetre - B-7-1-A","Zona Franca - Carrer 3 (Piezòmetre B-7-1-A)","Vall baixa i Delta del Llobregat",20,2.137929,41.3327504,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-0168","Piezòmetre - B-7-1-B","Zona Franca - Carrer 3 (Piezòmetre B-7-1-B)","Vall baixa i Delta del Llobregat",35,2.1379527,41.3327106,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-0155","Piezòmetre - B-7-1-C","Zona Franca - Carrer 3 (Piezòmetre B-7-1-C)","Vall baixa i Delta del Llobregat",54.7,2.1379288,41.3327594,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-0152","Piezòmetre - B-7-2-A","Zona Franca - Carrer 3 (Piezòmetre B-7-2-A)","Vall baixa i Delta del Llobregat",29,2.142992,41.3421741,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-0077","Piezòmetre - B-7-2-B","Zona Franca - Carrer 2 (Piezòmetre B-7-2-B)","Vall baixa i Delta del Llobregat",54.4,2.1430039,41.3421742,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-0141","Piezòmetre - B-8'-A (Barcelona)","Zona Franca - Carrer 60 (Piezòmetre B-8'-A)","Vall baixa i Delta del Llobregat",16,2.1452411,41.3474963,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-0076","Piezòmetre - B-8'-C","Zona Franca - Carrer 62 (Piezòmetre B-8'-C)","Vall baixa i Delta del Llobregat",60,2.1449186,41.3474759,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-0142","Piezòmetre - C-7'-A (Barcelona)","Zona Franca - Carrer E (Piezòmetre C-7'-A)","Vall baixa i Delta del Llobregat",18,2.1298228,41.3356724,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-0143","Piezòmetre - C-7'-B","Zona Franca - Carrer E (Piezòmetre C-7'-B)","Vall baixa i Delta del Llobregat",36.6,2.1297502,41.3356494,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-0144","Piezòmetre - C-7'-C (Barcelona)","Zona Franca - Carrer 3 (Piezòmetre C-7'-C)","Vall baixa i Delta del Llobregat",53,2.1297997,41.3356617,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-0145","Piezòmetre - C-7'-D","Zona Franca - Carrer E (Piezòmetre C-7'-D)","Vall baixa i Delta del Llobregat",60,2.1297044,41.335643,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-0570","Piezòmetre - Piezòmetre Barrera Hidràulica Bh-Pp10","Zona Franca - Ronda Litoral (Piezòmetre Bh-Pp10)","Vall baixa i Delta del Llobregat",72,2.1358944,41.3447772,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-0571","Piezòmetre - Piezòmetre Barrera Hidràulica Bh-Pp14","Zona Franca - Rda. del Port (Piezòmetre Bh-Pp14)","Vall baixa i Delta del Llobregat",64,2.1493634,41.3466488,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-0940","Piezòmetre - Piezòmetre Barrera Hidràulica Bh-Pp14 A (Superficial)","Zona Franca - Rda. del Port (Piezòmetre Bh-Pp14A)","Vall baixa i Delta del Llobregat",36,2.1493401,41.3466529,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-0572","Piezòmetre - Piezòmetre Barrera Hidràulica Bh-Pp15","Zona Franca - Carrer A (Piezòmetre Bh-Pp15)","Vall baixa i Delta del Llobregat",65,2.1417564,41.3369672,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-0939","Piezòmetre - Piezòmetre Barrera Hidràulica Bh-Pp15 A (Superficial)","Zona Franca - Carrer A (Piezòmetre Bh-Pp15A)","Vall baixa i Delta del Llobregat",15,2.1417575,41.3369675,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-0573","Piezòmetre - Piezòmetre Barrera Hidràulica Bh-Pp16","Zona Franca - Carrer C (Piezòmetre Bh-Pp10)","Vall baixa i Delta del Llobregat",64,2.1344239,41.3340514,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-0574","Piezòmetre - Piezòmetre Barrera Hidràulica Bh-Pp17","Zona Franca - Carrer 60 (Piezòmetre Bh-Pp17)","Vall baixa i Delta del Llobregat",69,2.1428864,41.3433534,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-0565","Piezòmetre - Piezòmetre Barrera Hidràulica Bh-Pp4","Zona Franca - Carrer 2 (Piezòmetre Bh-Pp4)","Vall baixa i Delta del Llobregat",71,2.1437163,41.3415491,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-0566","Piezòmetre - Piezòmetre Barrera Hidràulica Bh-Pp5","Zona Franca - Carrer A (Piezòmetre Bh-Pp5)","Vall baixa i Delta del Llobregat",73,2.1326509,41.3236535,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-0567","Piezòmetre - Piezòmetre Barrera Hidràulica Bh-Pp6","Zona Franca - Carrer 3 (Piezòmetre Bh-Pp6)","Vall baixa i Delta del Llobregat",75,2.1379717,41.3323035,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-0568","Piezòmetre - Piezòmetre Barrera Hidràulica Bh-Pp7","Zona Franca - Carrer A (Piezòmetre Bh-Pp7)","Vall baixa i Delta del Llobregat",72,2.1355466,41.3283188,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-0569","Piezòmetre - Piezòmetre Barrera Hidràulica Bh-Pp9","Zona Franca - Carrer 5 (Piezòmetre Bh-Pp9)","Vall baixa i Delta del Llobregat",68,2.1266582,41.3256901,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-1239","Piezòmetre - Piezòmetre Poble Sec Psp10","Carrer Calàbria (Piezòmetre Psp10)","Baix Besòs i Pla de Barcelona",26.1,2.1600419,41.3761052,10,"Sant Antoni",2,"Eixample"
"08019-0269","Piezòmetre - Port 1","Port Logístic (Piezòmetre Port 1)","Vall baixa i Delta del Llobregat",65.5,2.1460052,41.3217607,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-0241","Piezòmetre - Port 2a","Moll de l’Energia (Piezòmetre Port 2 A)","Vall baixa i Delta del Llobregat",24.5,2.1528648,41.335012,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-0242","Piezòmetre - Port 2b","Moll de l’Energia (Piezòmetre Port 2b)","Vall baixa i Delta del Llobregat",58.5,2.1528762,41.3350372,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-0188","Piezòmetre - Port-1-Nou","Port Logístic (Piezòmetre Port 1 Nou)","Vall baixa i Delta del Llobregat",73.6,2.1457444,41.32172,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-0189","Piezòmetre - Port-2b-Nou","Moll de l’Energia (Piezòmetre Port 2 Nou)","Vall baixa i Delta del Llobregat",66.32,2.1529057,41.3350653,12,"la Marina del Prat Vermell",3,"Sants - Montjuïc"
"08019-0294","QLSub - Ajmt Bcn P5 - Pou C. Mestres","C. Mestres (Pou QLSub)","Baix Besòs i Pla de Barcelona",11.9,2.1447678,41.359785,13,"la Marina del Port",3,"Sants - Montjuïc"
"08019-0302","QLSub - Ajmt Bcn S5 - Pou Torre De Les Aigües","Torre de les Aigües (Pou QLSub)","Baix Besòs i Pla de Barcelona",40,2.1697478,41.3932687,7,"la Dreta de l'Eixample",2,"Eixample"
"08019-1300","QLSub - Ordu (Ajuntament Barcelona)","C. Orduña (Pou QLSub)","Baix Besòs i Pla de Barcelona",23,2.1728002,41.4337554,46,"el Turó de la Peira",8,"Nou Barris"
"08019-0129","QLSub - Pou 1 Antonio Puig Sa","C. de Potosí (Pou QLSub)","Baix Besòs i Pla de Barcelona",29.4,2.2042917,41.4434804,59,"el Bon Pastor",9,"Sant Andreu"
"08019-0014","QLSub - Pou 3 Sant Andreu Central Besòs","Trinitat Vella - Besòs (Pou QLSub)","Baix Besòs i Pla de Barcelona",25.1,2.1899711,41.4572338,57,"la Trinitat Vella",9,"Sant Andreu"
"08019-0104","QLSub - Pou Barcelona (Inst.Catala De La Salut Generalitat Catalunya (Ics 3a Admi))","C. Manso - ICS (Pou QLSub)","Baix Besòs i Pla de Barcelona",24.15,2.1593898,41.3755569,10,"Sant Antoni",2,"Eixample"
"08019-0010","QLSub - Pou Barcelona (Residencia De La Inmaculada)","Res. De la Immaculada (Pou QLSub)","Baix Besòs i Pla de Barcelona",14,2.156903,41.4346443,43,"Horta",7,"Horta - Guinardó"
"08019-0411","QLSub - Pou Montsolís Sgab","C. Santander / Fra Juniper Serra (Pou QLSub)","Baix Besòs i Pla de Barcelona",34.5,2.2052907,41.4321433,59,"el Bon Pastor",9,"Sant Andreu"
"08019-0024","QLSub - Pou Reial Club De Tennis Barcelona 1889","Club de Tennis Barcelona (Pou QLSub)","Baix Besòs i Pla de Barcelona",20,2.1171731,41.3926435,21,"Pedralbes",4,"les Corts"
"08019-0021","QLSub - Pou Temple Sagrada Familia","Temple Sagrada Família (Pou QLSub)","Baix Besòs i Pla de Barcelona",29,2.1741711,41.4039686,6,"la Sagrada Família",2,"Eixample"
"08019-0082","QLSub - Pozo Floridablanca","C. de Floridablanca (Pou QLSub)","Baix Besòs i Pla de Barcelona",8,2.1626761,41.3814388,10,"Sant Antoni",2,"Eixample"
"08019-1301","QLSub - Trme (Ajuntament De Barcelona)","C. Trinxant (Pou QLSub)","Baix Besòs i Pla de Barcelona",15,2.1865961,41.4139743,64,"el Camp de l’Arpa del Clot",10,"Sant Martí"
